tiempo,variable
0,395
1,397
2,400
3,404
4,406
5,407
6,409
7,413
8,419
9,424
10,427
11,427
12,423
13,418
14,412
15,409
16,408
17,407
18,409
19,410
20,413
21,415
22,416
23,418
24,420
25,424
26,428
27,430
28,433
29,435
30,433
31,432
32,429
33,428
34,428
35,430
36,433
37,435
38,440
39,442
40,443
41,446
42,449
43,452
44,455
45,460
46,462
47,461
48,460
49,457
50,457
51,456
52,455
53,456
54,456
55,460
56,463
57,465
58,470
59,473
60,475
61,475
62,473
63,471
64,468
65,466
66,463
67,462
68,463
69,465
70,469
71,472
72,473
73,476
74,478
75,482
76,486
77,486
78,483
79,481
80,479
81,478
82,475
83,472
84,471
85,472
86,472
87,472
88,475
89,477
90,480
91,484
92,487
93,490
94,492
95,493
96,493
97,492
98,492
99,490
100,493
101,496
102,500
103,502
104,503
105,507
106,510
107,511
108,515
109,518
110,521
111,522
112,521
113,519
114,517
115,516
116,514
117,513
118,514
119,514
120,514
121,515
122,515
123,516
124,519
125,522
126,525
127,526
128,528
129,529
130,529
131,530
132,531
133,532
134,534
135,535
136,536
137,535
138,538
139,539
140,538
141,540
142,544
143,547
144,546
145,547
146,546
147,543
148,543
149,539
150,540
151,542
152,544
153,549
154,552
155,555
156,556
157,554
158,554
159,553
160,550
161,546
162,541
163,537
164,531
165,525
166,520
167,515
168,514
169,511
170,507
171,502
172,496
173,495
174,493
175,495
176,496
177,493
178,493
179,490
180,487
181,483
182,479
183,476
184,472
185,470
186,467
187,462
188,460
189,459
190,460
191,463
192,463
193,463
194,461
195,461
196,460
197,458
198,456
199,454
200,452
201,451
202,451
203,454
204,455
205,455
206,458
207,461
208,465
209,469
210,470
211,469
212,468
213,465
214,462
215,460
216,458
217,455
218,456
219,456
220,458
221,460
222,462
223,465
224,467
225,469
226,472
227,472
228,473
229,471
230,467
231,463
232,457
233,454
234,449
235,445
236,439
237,434
238,431
239,428
240,428
241,431
242,436
243,441
244,442
245,443
246,444
247,445
248,450
249,454
250,462
251,478
252,494
253,512
254,531
255,553
256,576
257,602
258,633
259,664
260,697
261,729
262,757
263,785
264,812
265,836
266,859
267,885
268,916
269,946
270,975
271,996
272,1004
273,1006
274,998
275,984
276,962
277,933
278,898
279,854
280,807
281,758
282,716
283,683
284,658
285,639
286,623
287,608
288,596
289,582
290,570
291,559
292,547
293,536
294,520
295,508
296,492
297,478
298,468
299,457
300,451
301,446
302,443
303,444
304,442
305,443
306,443
307,442
308,443
309,440
310,438
311,436
312,434
313,432
314,429
315,428
316,427
317,425
318,425
319,423
320,423
321,423
322,425
323,430
324,432
325,436
326,438
327,438
328,441
329,440
330,441
331,439
332,436
333,436
334,436
335,437
336,437
337,436
338,438
339,440
340,442
341,444
342,446
343,449
344,451
345,451
346,449
347,445
348,443
349,441
350,441
351,442
352,444
353,448
354,451
355,453
356,455
357,457
358,462
359,465
360,468
361,471
362,472
363,473
364,474
365,477
366,476
367,474
368,474
369,472
370,475
371,476
372,476
373,478
374,481
375,487
376,492
377,495
378,497
379,497
380,497
381,496
382,494
383,491
384,487
385,484
386,483
387,482
388,485
389,487
390,489
391,494
392,498
393,503
394,505
395,508
396,508
397,506
398,505
399,505
400,504
401,507
402,507
403,510
404,511
405,514
406,516
407,519
408,525
409,530
410,533
411,536
412,536
413,535
414,534
415,532
416,530
417,530
418,532
419,534
420,536
421,540
422,543
423,547
424,553
425,559
426,563
427,564
428,568
429,568
430,569
431,567
432,566
433,567
434,568
435,569
436,571
437,572
438,576
439,579
440,582
441,587
442,593
443,598
444,600
445,603
446,603
447,603
448,606
449,605
450,605
451,605
452,605
453,608
454,611
455,613
456,616
457,619
458,622
459,625
460,627
461,626
462,625
463,624
464,622
465,620
466,617
467,616
468,618
469,619
470,620
471,621
472,620
473,622
474,624
475,626
476,628
477,628
478,628
479,624
480,620
481,618
482,613
483,611
484,607
485,605
486,603
487,601
488,599
489,594
490,590
491,588
492,586
493,583
494,579
495,574
496,567
497,558
498,553
499,545
500,539
501,532
502,528
503,523
504,518
505,514
506,510
507,506
508,506
509,502
510,498
511,494
512,488
513,480
514,471
515,462
516,454
517,447
518,443
519,437
520,433
521,430
522,426
523,424
524,423
525,423
526,421
527,417
528,415
529,412
530,406
531,401
532,395
533,391
534,388
535,387
536,387
537,386
538,388
539,388
540,390
541,393
542,395
543,396
544,397
545,396
546,392
547,389
548,387
549,384
550,384
551,382
552,382
553,382
554,382
555,383
556,384
557,389
558,397
559,401
560,405
561,407
562,408
563,409
564,411
565,412
566,413
567,413
568,413
569,410
570,408
571,407
572,405
573,406
574,408
575,413
576,415
577,416
578,417
579,416
580,415
581,414
582,412
583,414
584,413
585,414
586,415
587,416
588,419
589,422
590,424
591,429
592,433
593,437
594,439
595,443
596,445
597,445
598,446
599,443
600,441
601,440
602,439
603,441
604,442
605,444
606,446
607,448
608,452
609,456
610,458
611,459
612,459
613,459
614,458
615,457
616,457
617,457
618,459
619,460
620,462
621,464
622,467
623,470
624,472
625,476
626,478
627,479
628,481
629,479
630,476
631,475
632,472
633,472
634,473
635,474
636,476
637,476
638,479
639,480
640,482
641,485
642,487
643,491
644,492
645,491
646,488
647,485
648,484
649,482
650,481
651,482
652,482
653,483
654,484
655,486
656,488
657,491
658,496
659,498
660,499
661,499
662,499
663,498
664,496
665,496
666,497
667,497
668,500
669,500
670,503
671,505
672,509
673,513
674,518
675,522
676,524
677,523
678,523
679,519
680,516
681,515
682,513
683,514
684,515
685,517
686,519
687,520
688,524
689,526
690,529
691,534
692,540
693,545
694,548
695,550
696,551
697,551
698,550
699,548
700,548
701,548
702,548
703,550
704,550
705,550
706,551
707,553
708,559
709,560
710,560
711,560
712,558
713,557
714,554
715,552
716,552
717,551
718,552
719,551
720,549
721,549
722,548
723,547
724,548
725,549
726,549
727,547
728,547
729,542
730,537
731,532
732,526
733,520
734,515
735,512
736,509
737,504
738,502
739,499
740,496
741,495
742,493
743,491
744,487
745,484
746,478
747,472
748,470
749,466
750,466
751,464
752,463
753,464
754,463
755,464
756,464
757,466
758,469
759,470
760,470
761,468
762,465
763,463
764,460
765,459
766,456
767,454
768,455
769,455
770,456
771,457
772,459
773,461
774,464
775,470
776,472
777,472
778,473
779,470
780,467
781,463
782,459
783,456
784,455
785,456
786,458
787,458
788,460
789,461
790,464
791,468
792,472
793,474
794,474
795,472
796,469
797,464
798,460
799,453
800,447
801,441
802,438
803,437
804,436
805,439
806,442
807,444
808,451
809,452
810,453
811,454
812,456
813,460
814,468
815,480
816,495
817,511
818,528
819,549
820,572
821,596
822,624
823,656
824,692
825,728
826,762
827,796
828,829
829,859
830,883
831,907
832,932
833,960
834,990
835,1013
836,1022
837,1022
838,1022
839,1020
840,999
841,976
842,943
843,904
844,861
845,810
846,758
847,713
848,679
849,647
850,622
851,600
852,582
853,567
854,548
855,532
856,516
857,504
858,495
859,483
860,472
861,462
862,449
863,440
864,431
865,427
866,424
867,421
868,420
869,419
870,419
871,420
872,419
873,420
874,420
875,422
876,422
877,419
878,418
879,415
880,412
881,411
882,409
883,411
884,410
885,410
886,412
887,414
888,416
889,419
890,421
891,425
892,428
893,430
894,430
895,431
896,432
897,431
898,431
899,429
900,429
901,429
902,430
903,433
904,435
905,437
906,439
907,441
908,447
909,450
910,451
911,452
912,451
913,448
914,445
915,445
916,445
917,444
918,446
919,447
920,448
921,452
922,454
923,457
924,461
925,466
926,469
927,471
928,472
929,471
930,470
931,471
932,469
933,468
934,467
935,468
936,470
937,471
938,476
939,478
940,482
941,486
942,488
943,491
944,491
945,491
946,490
947,488
948,489
949,487
950,488
951,490
952,492
953,494
954,495
955,498
956,501
957,504
958,510
959,512
960,513
961,513
962,511
963,510
964,508
965,508
966,508
967,508
968,511
969,511
970,513
971,517
972,519
973,524
974,528
975,534
976,537
977,539
978,542
979,541
980,541
981,540
982,540
983,543
984,544
985,546
986,548
987,550
988,553
989,555
990,560
991,562
992,566
993,569
994,569
995,567
996,565
997,563
998,564
999,565
1000,567
1001,570
1002,573
1003,575
1004,577
1005,582
1006,588
1007,592
1008,597
1009,600
1010,604
1011,607
1012,605
1013,605
1014,603
1015,602
1016,601
1017,601
1018,605
1019,606
1020,610
1021,614
1022,616
1023,623
1024,626
1025,631
1026,633
1027,632
1028,633
1029,630
1030,627
1031,625
1032,623
1033,622
1034,622
1035,623
1036,624
1037,624
1038,626
1039,627
1040,628
1041,630
1042,630
1043,628
1044,627
1045,625
1046,620
1047,615
1048,612
1049,605
1050,600
1051,598
1052,593
1053,591
1054,585
1055,583
1056,582
1057,580
1058,580
1059,576
1060,572
1061,567
1062,559
1063,551
1064,543
1065,534
1066,527
1067,519
1068,515
1069,509
1070,504
1071,499
1072,494
1073,492
1074,487
1075,483
1076,479
1077,472
1078,468
1079,460
1080,451
1081,441
1082,431
1083,425
1084,419
1085,414
1086,409
1087,406
1088,403
1089,402
1090,402
1091,403
1092,403
1093,402
1094,399
