tiempo,variable_filtrada
0.00,-0.27
0.00,0.54
0.00,1.34
0.00,2.08
0.00,2.72
0.01,3.18
0.01,3.41
0.01,3.43
0.01,3.31
0.01,3.17
0.01,3.13
0.01,3.25
0.01,3.54
0.01,3.92
0.01,4.26
0.01,4.49
0.02,4.58
0.02,4.62
0.02,4.70
0.02,4.94
0.02,5.35
0.02,5.87
0.02,6.35
0.02,6.58
0.02,6.41
0.03,5.74
0.03,4.58
0.03,3.07
0.03,1.39
0.03,-0.23
0.03,-1.58
0.03,-2.47
0.03,-2.77
0.03,-2.42
0.03,-1.45
0.04,0.03
0.04,1.79
0.04,3.53
0.04,4.92
0.04,5.69
0.04,5.68
0.04,4.94
0.04,3.67
0.04,2.17
0.04,0.73
0.04,-0.40
0.05,-1.09
0.05,-1.32
0.05,-1.12
0.05,-0.55
0.05,0.32
0.05,1.42
0.05,2.68
0.05,3.93
0.05,5.01
0.06,5.72
0.06,5.94
0.06,5.61
0.06,4.84
0.06,3.81
0.06,2.74
0.06,1.86
0.06,1.33
0.06,1.22
0.06,1.52
0.07,2.14
0.07,2.95
0.07,3.82
0.07,4.61
0.07,5.23
0.07,5.61
0.07,5.74
0.07,5.68
0.07,5.52
0.07,5.36
0.07,5.25
0.08,5.23
0.08,5.24
0.08,5.18
0.08,4.96
0.08,4.52
0.08,3.91
0.08,3.23
0.08,2.68
0.08,2.48
0.09,2.80
0.09,3.71
0.09,5.18
0.09,7.08
0.09,9.19
0.09,11.29
0.09,13.20
0.09,14.80
0.09,16.04
0.09,16.94
0.10,17.57
0.10,17.96
0.10,18.15
0.10,18.13
0.10,17.87
0.10,17.38
0.10,16.64
0.10,15.69
0.10,14.59
0.10,13.40
0.10,12.19
0.11,11.05
0.11,10.07
0.11,9.34
0.11,8.99
0.11,9.10
0.11,9.75
0.11,11.00
0.11,12.86
0.11,15.30
0.12,18.23
0.12,21.54
0.12,25.01
0.12,28.43
0.12,31.56
0.12,34.20
0.12,36.25
0.12,37.71
0.12,38.74
0.12,39.56
0.12,40.35
0.13,41.19
0.13,41.96
0.13,42.40
0.13,42.17
0.13,40.96
0.13,38.67
0.13,35.41
0.13,31.56
0.13,27.58
0.14,23.97
0.14,21.12
0.14,19.19
0.14,18.14
0.14,17.74
0.14,17.65
0.14,17.53
0.14,17.11
0.14,16.26
0.14,14.93
0.14,13.20
0.15,11.14
0.15,8.88
0.15,6.56
0.15,4.31
0.15,2.27
0.15,0.53
0.15,-0.90
0.15,-2.11
0.15,-3.27
0.15,-4.60
0.16,-6.24
0.16,-8.26
0.16,-10.56
0.16,-12.99
0.16,-15.32
0.16,-17.39
0.16,-19.10
0.16,-20.46
0.16,-21.52
0.17,-22.35
0.17,-22.97
0.17,-23.38
0.17,-23.51
0.17,-23.34
0.17,-22.88
0.17,-22.21
0.17,-21.42
0.17,-20.64
0.17,-19.94
0.17,-19.35
0.18,-18.89
0.18,-18.55
0.18,-18.35
0.18,-18.32
0.18,-18.50
0.18,-18.90
0.18,-19.45
0.18,-20.06
