tiempo,variable_filtrada
0.00,-18.02
0.00,-19.02
0.00,-20.03
0.00,-21.06
0.00,-22.16
0.01,-23.35
0.01,-24.66
0.01,-26.08
0.01,-27.60
0.01,-29.18
0.01,-30.75
0.01,-32.23
0.01,-33.59
0.01,-34.80
0.01,-35.92
0.01,-37.01
0.02,-38.14
0.02,-39.40
0.02,-40.80
0.02,-42.34
0.02,-43.94
0.02,-45.49
0.02,-46.88
0.02,-48.00
0.02,-48.80
0.03,-49.30
0.03,-49.59
0.03,-49.80
0.03,-50.10
0.03,-50.59
0.03,-51.32
0.03,-52.21
0.03,-53.10
0.03,-53.78
0.03,-54.06
0.04,-53.84
0.04,-53.15
0.04,-52.16
0.04,-51.07
0.04,-50.09
0.04,-49.34
0.04,-48.83
0.04,-48.48
0.04,-48.19
0.04,-47.85
0.04,-47.39
0.05,-46.82
0.05,-46.18
0.05,-45.53
0.05,-44.91
0.05,-44.34
0.05,-43.82
0.05,-43.32
0.05,-42.81
0.05,-42.28
0.06,-41.72
0.06,-41.17
0.06,-40.66
0.06,-40.24
0.06,-39.93
0.06,-39.70
0.06,-39.51
0.06,-39.31
0.06,-39.07
0.06,-38.80
0.07,-38.57
0.07,-38.52
0.07,-38.79
0.07,-39.51
0.07,-40.76
0.07,-42.51
0.07,-44.63
0.07,-46.89
0.07,-49.02
0.07,-50.72
0.07,-51.77
0.08,-52.06
0.08,-51.55
0.08,-50.27
0.08,-48.28
0.08,-45.59
0.08,-42.20
0.08,-38.05
0.08,-33.07
0.08,-27.23
0.09,-20.53
0.09,-13.03
0.09,-4.89
0.09,3.75
0.09,12.71
0.09,21.86
0.09,31.13
0.09,40.53
0.09,50.12
0.09,59.98
0.10,70.14
0.10,80.54
0.10,91.00
0.10,101.17
0.10,110.52
0.10,118.39
0.10,124.01
0.10,126.57
0.10,125.43
0.10,120.25
0.10,111.19
0.11,98.96
0.11,84.72
0.11,69.81
0.11,55.41
0.11,42.27
0.11,30.53
0.11,19.75
0.11,9.14
0.11,-2.25
0.12,-15.16
0.12,-30.02
0.12,-46.81
0.12,-65.12
0.12,-84.24
0.12,-103.32
0.12,-121.52
0.12,-138.07
0.12,-152.41
0.12,-164.17
0.12,-173.14
0.13,-179.30
0.13,-182.71
0.13,-183.46
0.13,-181.71
0.13,-177.59
0.13,-171.25
0.13,-162.83
0.13,-152.55
0.13,-140.67
0.14,-127.60
0.14,-113.81
0.14,-99.84
0.14,-86.15
0.14,-73.08
0.14,-60.84
0.14,-49.46
0.14,-38.96
0.14,-29.37
0.14,-20.84
0.14,-13.64
0.15,-8.06
0.15,-4.33
0.15,-2.56
0.15,-2.65
0.15,-4.39
0.15,-7.44
0.15,-11.39
0.15,-15.83
0.15,-20.34
0.15,-24.53
0.16,-28.08
0.16,-30.80
0.16,-32.64
0.16,-33.68
0.16,-34.05
