tiempo,variable_filtrada
0.00,-25.40
0.00,-31.20
0.00,-36.57
0.00,-41.06
0.00,-44.25
0.01,-45.75
0.01,-45.37
0.01,-43.19
0.01,-39.65
0.01,-35.47
0.01,-31.54
0.01,-28.72
0.01,-27.62
0.01,-28.47
0.01,-31.11
0.01,-35.06
0.02,-39.67
0.02,-44.26
0.02,-48.25
0.02,-51.21
0.02,-52.87
0.02,-53.04
0.02,-51.67
0.02,-48.81
0.02,-44.70
0.03,-39.76
0.03,-34.62
0.03,-29.97
0.03,-26.50
0.03,-24.67
0.03,-24.67
0.03,-26.35
0.03,-29.25
0.03,-32.77
0.03,-36.26
0.04,-39.16
0.04,-41.03
0.04,-41.57
0.04,-40.60
0.04,-38.08
0.04,-34.15
0.04,-29.15
0.04,-23.65
0.04,-18.35
0.04,-13.95
0.04,-11.00
0.05,-9.80
0.05,-10.32
0.05,-12.23
0.05,-15.06
0.05,-18.25
0.05,-21.32
0.05,-23.86
0.05,-25.56
0.05,-26.20
0.06,-25.61
0.06,-23.71
0.06,-20.59
0.06,-16.52
0.06,-12.01
0.06,-7.69
0.06,-4.23
0.06,-2.10
0.06,-1.55
0.06,-2.47
0.07,-4.51
0.07,-7.15
0.07,-9.82
0.07,-12.04
0.07,-13.46
0.07,-13.83
0.07,-12.99
0.07,-10.90
0.07,-7.61
0.07,-3.35
0.07,1.42
0.08,6.10
0.08,10.04
0.08,12.69
0.08,13.79
0.08,13.38
0.08,11.81
0.08,9.58
0.08,7.23
0.08,5.19
0.09,3.73
0.09,3.01
0.09,3.13
0.09,4.15
0.09,6.13
0.09,9.04
0.09,12.72
0.09,16.84
0.09,20.91
0.09,24.39
0.10,26.85
0.10,28.05
0.10,28.05
0.10,27.11
0.10,25.65
0.10,24.08
0.10,22.74
0.10,21.86
0.10,21.54
0.10,21.85
0.10,22.83
0.11,24.51
0.11,26.85
0.11,29.70
0.11,32.81
0.11,35.82
0.11,38.33
0.11,40.07
0.11,40.90
0.11,40.84
0.12,40.10
0.12,38.96
0.12,37.73
0.12,36.66
0.12,35.99
0.12,35.89
0.12,36.54
0.12,38.06
0.12,40.52
0.12,43.85
0.12,47.77
0.13,51.87
0.13,55.64
0.13,58.65
0.13,60.61
0.13,61.48
0.13,61.43
0.13,60.79
0.13,59.90
0.13,59.06
0.14,58.47
0.14,58.25
0.14,58.52
0.14,59.42
0.14,61.07
0.14,63.55
0.14,66.74
0.14,70.35
0.14,73.96
0.14,77.10
0.14,79.41
0.15,80.74
0.15,81.17
0.15,80.92
0.15,80.31
0.15,79.61
0.15,79.03
0.15,78.68
0.15,78.65
0.15,79.02
0.15,79.92
0.16,81.45
0.16,83.61
0.16,86.28
0.16,89.15
0.16,91.81
0.16,93.86
0.16,95.00
0.16,95.16
0.16,94.47
0.17,93.23
0.17,91.80
0.17,90.48
0.17,89.46
0.17,88.80
0.17,88.48
0.17,88.51
0.17,88.89
0.17,89.66
0.17,90.82
0.17,92.25
0.18,93.72
0.18,94.91
0.18,95.55
0.18,95.45
0.18,94.58
0.18,93.03
0.18,90.98
0.18,88.62
0.18,86.10
0.18,83.52
0.19,80.95
0.19,78.51
0.19,76.36
0.19,74.64
0.19,73.45
0.19,72.70
0.19,72.12
0.19,71.30
0.19,69.79
0.20,67.30
0.20,63.76
0.20,59.37
0.20,54.52
0.20,49.62
0.20,45.02
0.20,40.90
0.20,37.29
0.20,34.12
0.20,31.35
0.20,28.96
0.21,27.00
0.21,25.48
0.21,24.29
0.21,23.22
0.21,21.93
0.21,20.08
0.21,17.45
0.21,14.02
0.21,9.97
0.21,5.59
0.22,1.19
0.22,-3.02
0.22,-6.94
0.22,-10.59
