tiempo,variable
0,499
1,497
2,499
3,499
4,499
5,501
6,502
7,502
8,502
9,501
10,502
11,502
12,501
13,500
14,499
15,499
16,499
17,500
18,499
19,499
20,500
21,500
22,502
23,500
24,499
25,500
26,500
27,499
28,499
29,499
30,502
31,500
32,499
33,500
34,500
35,501
36,500
37,500
38,502
39,502
40,504
41,503
42,504
43,504
44,504
45,503
46,501
47,501
48,499
49,498
50,498
51,497
52,498
53,499
54,500
55,504
56,504
57,506
58,506
59,505
60,507
61,504
62,505
63,504
64,501
65,500
66,498
67,497
68,496
69,497
70,498
71,499
72,501
73,504
74,506
75,508
76,509
77,510
78,511
79,511
80,511
81,509
82,504
83,500
84,497
85,496
86,497
87,500
88,503
89,505
90,509
91,510
92,509
93,508
94,508
95,508
96,508
97,507
98,509
99,509
100,509
101,508
102,508
103,506
104,506
105,508
106,506
107,508
108,509
109,510
110,512
111,513
112,514
113,514
114,513
115,512
116,510
117,508
118,505
119,506
120,507
121,507
122,508
123,508
124,508
125,510
126,510
127,510
128,509
129,508
130,508
131,505
132,504
133,503
134,501
135,502
136,502
137,504
138,506
139,507
140,509
141,509
142,509
143,510
144,509
145,509
146,508
147,507
148,507
149,508
150,508
151,507
152,509
153,510
154,510
155,511
156,511
157,511
158,510
159,510
160,511
161,510
162,508
163,507
164,505
165,505
166,504
167,505
168,506
169,508
170,512
171,515
172,519
173,521
174,521
175,523
176,521
177,520
178,519
179,517
180,517
181,515
182,513
183,512
184,510
185,511
186,511
187,511
188,511
189,510
190,510
191,510
192,511
193,512
194,512
195,514
196,516
197,517
198,518
199,518
200,519
201,518
202,518
203,517
204,517
205,519
206,519
207,521
208,522
209,524
210,526
211,526
212,528
213,527
214,526
215,526
216,524
217,524
218,523
219,522
220,523
221,522
222,522
223,523
224,523
225,523
226,523
227,523
228,522
229,522
230,524
231,523
232,523
233,523
234,522
235,522
236,520
237,520
238,521
239,520
240,519
241,519
242,519
243,517
244,515
245,515
246,512
247,510
248,507
249,506
250,505
251,503
252,502
253,500
254,499
255,500
256,500
